id,batchID,batchIDLastChangedAt,bonus,bonusLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01KC79Q19CCRKYWJZ49GJY1W6W,01KC792NT3GNWPDN4K2DAPSNHC,2025-12-11T18:10:31.852687202Z,22,2025-12-11T18:10:34.402301794Z,C,2025-12-11T18:10:34.26298492Z,01KC792NTEQ8JKXK344BFAF58E,2025-12-11T18:10:31.852687202Z,01KC79HAYC0GW9EB6ESCFZWCXF,2025-12-11T18:10:31.852687202Z,01KC79N3DRQ4W34FSXCTJRZ2A2,2025-12-11T18:10:31.852687202Z
01KC79TVF1KQPKZE3YK7FR4GBC,01KC792QR6XXN61ZXWP8M9MPK8,2025-12-11T18:12:36.961249156Z,22,2025-12-11T18:12:41.50435523Z,C,2025-12-11T18:12:41.449724429Z,01KC792QRJCW2RMKD50WKTBMJB,2025-12-11T18:12:36.961249156Z,01KC79HX8SJ75JCT5T5G83CA15,2025-12-11T18:12:36.961249156Z,01KC79RQDR63Z7NT6ENQ4TA6SA,2025-12-11T18:12:36.961249156Z
01KC79P3G951RKA7BQW5KAVZF3,01KC792PRTZHWRJ2KMDQQMG00W,2025-12-11T18:10:01.353799616Z,12,2025-12-11T18:10:07.240533601Z,C,2025-12-11T18:10:04.447950944Z,01KC792PS59W7MMQWZYWR4N84V,2025-12-11T18:10:01.353799616Z,01KC79E198HBBFT474WAZVAMA1,2025-12-11T18:10:01.353799616Z,01KC79KPNFPDWTY9T458VF2HMD,2025-12-11T18:10:01.353799616Z
01KC7A4W3WRJMFRM7EH1KRC141,01KC79VHE8PE9MZRMG71GAT5MW,2025-12-11T18:18:05.308393923Z,12,2025-12-11T18:18:19.180639639Z,C,2025-12-11T18:18:18.763834184Z,01KC79VHNW7FWHSXXSWMJ4BAAT,2025-12-11T18:18:05.308393923Z,01KC79K0V50SP04EJBDH0RXGDM,2025-12-11T18:18:05.308393923Z,01KC7A009VBTHYDB67K9ZBBBK4,2025-12-11T18:18:05.308393923Z
01KC79SRX53H15CSKAEG1EYQS9,01KC792QR6XXN61ZXWP8M9MPK8,2025-12-11T18:12:01.573486036Z,0,2025-12-11T18:12:07.576952215Z,D,2025-12-11T18:12:07.487401069Z,01KC792QRJCW2RMKD50WKTBMJB,2025-12-11T18:12:01.573486036Z,01KC79HDXZXQHKQG73XVPYYATJ,2025-12-11T18:12:01.573486036Z,01KC79RQ8XDCR0Y1T5AN3DBSDG,2025-12-11T18:12:01.573486036Z
01KC7A0E3M4A8HVKHH82JGJ7R5,01KC792QK3NQ9YQBMVC4J2ZJYJ,2025-12-11T18:15:39.892340777Z,29,2025-12-11T18:15:45.411925843Z,D,2025-12-11T18:15:41.94206424Z,01KC792QKEWXFRRJ193215MS3Y,2025-12-11T18:15:39.892340777Z,01KC79FVG65F2QE0J459PXW400,2025-12-11T18:15:39.892340777Z,01KC79RHHB0NCF5SVBD079MKHN,2025-12-11T18:15:39.892340777Z
01KC7AP3YDTPMGQ4KXPWCJ17PX,01KC79VJKE866YDMKWKSSCRSG8,2025-12-11T18:27:30.381284382Z,0,2025-12-11T18:27:58.897862752Z,B,2025-12-11T18:27:51.433361982Z,01KC79VK0HYCMYG94EPY3TV8PH,2025-12-11T18:27:30.381284382Z,01KC7A5GT6H5TCTEA2VECMEPXZ,2025-12-11T18:27:30.381284382Z,01KC7AE82NRCNVB7PFTEJWQ0NY,2025-12-11T18:27:30.381284382Z
01KC7AX6FW2MF6ZQ7HBS9PNXNT,01KC79VJE7CNPF3WFGNWFS1AX9,2025-12-11T18:31:22.36492832Z,22,2025-12-11T18:32:01.621119348Z,C,2025-12-11T18:31:56.26106461Z,01KC79VJRN83Z6TJ4WRC66DE0Y,2025-12-11T18:31:22.36492832Z,01KC7A1KQ313ZNXQCVJ2X1ACYZ,2025-12-11T18:31:22.36492832Z,01KC7AADW234KCTA42MF7PNCCF,2025-12-11T18:31:22.36492832Z
01KC79PYC8C3A1F150HEGYW7XX,01KC792PXGTWWGJ3W8WN91YRG2,2025-12-11T18:10:28.87237913Z,29,2025-12-11T18:10:42.723441774Z,D,2025-12-11T18:10:35.137477957Z,01KC792PXTR0N6KYBS1YKZHZ15,2025-12-11T18:10:28.87237913Z,01KC79G8091JHS7S2PA0X7BWZD,2025-12-11T18:10:28.87237913Z,01KC79PT8RQ8TKSQ8ZCGJVERRM,2025-12-11T18:10:28.87237913Z
01KC79S5Z2PFVR2499XQKQ28RR,01KC792QXFDTTSEYSKJSE46MFT,2025-12-11T18:11:42.178195626Z,22,2025-12-11T18:11:43.495689635Z,C,2025-12-11T18:11:43.443125684Z,01KC792QXT26YC6BEFZ6Z9RW21,2025-12-11T18:11:42.178195626Z,01KC79GGQVV2F88NW7MBP8PDXB,2025-12-11T18:11:42.178195626Z,01KC79JWT5BP0444QD3ZB2RCA8,2025-12-11T18:11:42.178195626Z
