id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01KC79Z290Q045W71CM6HWVSZM,01KC79Q7J7QADCZGK8XSKJE216,2025-12-11T18:14:55.008490051Z,01KC79Q7KZQDNHF5M1TY59AJCV,2025-12-11T18:14:55.008490051Z,01KC79P9S0Z4R3SF0X9X4XTCT3,2025-12-11T18:14:55.008490051Z
01KC7A2DJ3621JFRPQT9N7KSM1,01KC79VHVA3W05MJ5T7R51WJGB,2025-12-11T18:16:44.867276532Z,01KC79VJ1C3ZDY5HF0N9GH13VS,2025-12-11T18:16:44.867276532Z,01KC79NSCJNC3W3WKQSTNSABT1,2025-12-11T18:16:44.867276532Z
01KC79GMH6QVNKX52PN6XY4RV2,01KC792RKV2EEPDB2VKNCS5H0N,2025-12-11T18:07:02.182503729Z,01KC792RM5H8250G7S7JGPBJ2K,2025-12-11T18:07:02.182503729Z,01KC79BQE5NEVJ38SXM2BYNA5G,2025-12-11T18:07:02.182503729Z
01KC79HBCG00E7DANFTPHY68M1,01KC792RZXSW2VJJ9MYY3HWKT7,2025-12-11T18:07:25.58442539Z,01KC792S06J6QXCJ8HVDY29CGM,2025-12-11T18:07:25.58442539Z,01KC79AZHPWTK69BY5J67B7E59,2025-12-11T18:07:25.58442539Z
01KC79M3HSK84SJ06PQA442BN5,01KC792KZR2KPNFT8RETH9PVJY,2025-12-11T18:08:55.865570257Z,01KC792M0BM7GTS3CCE5Y5ZV08,2025-12-11T18:08:55.865570257Z,01KC79G14XK1NG6DCJEPA48E3G,2025-12-11T18:08:55.865570257Z
01KC79PETRQMFKQ9T9SB3SD4T9,01KC792PFK3W14G4ZFE0JVZG1C,2025-12-11T18:10:12.952201825Z,01KC792PFW6AVG96T52RTPX57B,2025-12-11T18:10:12.952201825Z,01KC79MGE1EBBG51JQQHMZ6RXY,2025-12-11T18:10:12.952201825Z
01KC7A4YT5PYBGGHK8T443306N,01KC79VJ1XZ02D6PCVP5WH7QJ5,2025-12-11T18:18:08.069265612Z,01KC79VJ6S95MS6XD8D1HAJ57N,2025-12-11T18:18:08.069265612Z,01KC7A1SBREQ8RTRBGZ3A26DAR,2025-12-11T18:18:08.069265612Z
01KC7APNCEBESHDQF2WN9YP4XY,01KC79VJXXPSPD2VWHGZ052C31,2025-12-11T18:27:48.23875295Z,01KC79VK797V9N954PGYD7K2K1,2025-12-11T18:27:48.23875295Z,01KC7AK6GSCZTH4VWGBVP3TKDW,2025-12-11T18:27:48.23875295Z
01KC7AQ254PHZ48E221XVMR3MH,01KC79VK7TM02CNZ35QA1DJMGE,2025-12-11T18:28:01.316962558Z,01KC79VKMCBGAZ7NXS8D0WYXB0,2025-12-11T18:28:01.316962558Z,01KC7AJXSZJ5EGB9R2VF9V0GWN,2025-12-11T18:28:01.316962558Z
01KC79HQ9Q8Z5WAHQCFVJ18YNT,01KC792S5XKA02FKX43NFPRQY2,2025-12-11T18:07:37.783824158Z,01KC792S662BJ5HPY24M0VV8VJ,2025-12-11T18:07:37.783824158Z,01KC79G6GD2ZRB70H9GZQ1HV8N,2025-12-11T18:07:37.783824158Z
01KC79KPKSGJFH9ENN5KKVS9FG,01KC792PRTZHWRJ2KMDQQMG00W,2025-12-11T18:08:42.617499912Z,01KC792PS59W7MMQWZYWR4N84V,2025-12-11T18:08:42.617499912Z,01KC79EQ5VGND62AJQKN8RW603,2025-12-11T18:08:42.617499912Z
01KC79NG2X8VPH2T9T0N91K7YF,01KC792NZQW5MQZPSHSTMQ5DHE,2025-12-11T18:09:41.469847909Z,01KC792P02FDQSKTX7R48P6G43,2025-12-11T18:09:41.469847909Z,01KC79G33FKHQAFQP3E0JXHPWT,2025-12-11T18:09:41.469847909Z
01KC79PBFX9K1CPK32SR15NJJS,01KC792PA4EJ6B9N1NVAP206ZD,2025-12-11T18:10:09.533375428Z,01KC792PAG0VBJYH8A5GGYPASS,2025-12-11T18:10:09.533375428Z,01KC79KA2QTXFQREVVACC2JAWT,2025-12-11T18:10:09.533375428Z
01KC79RQ5ZARW6M55RMMSK5KPD,01KC792QR6XXN61ZXWP8M9MPK8,2025-12-11T18:11:27.03968505Z,01KC792QRJCW2RMKD50WKTBMJB,2025-12-11T18:11:27.03968505Z,01KC79HX8SJ75JCT5T5G83CA15,2025-12-11T18:11:27.03968505Z
01KC79C6EF6102PJ63AGQN2J4N,01KC792RSWBXR1CBEJH052NEY8,2025-12-11T18:04:36.687930492Z,01KC792RTASY0JSKRRE5K8E1F9,2025-12-11T18:04:36.687930492Z,01KC7968GT4Y7W2K61YEZYYZ01,2025-12-11T18:04:36.687930492Z
01KC79HBCH28E400S684QFNBHH,01KC792RZXSW2VJJ9MYY3HWKT7,2025-12-11T18:07:25.585871179Z,01KC792S06J6QXCJ8HVDY29CGM,2025-12-11T18:07:25.585871179Z,01KC79ETZGJTNY1SR916TX5BKW,2025-12-11T18:07:25.585871179Z
01KC79NYXS9XPYDHFX0HNYDSPR,01KC792P4XAE965E30E0MR6EDR,2025-12-11T18:09:56.665793859Z,01KC792P58W4CSJFC6SH7MP77N,2025-12-11T18:09:56.665793859Z,01KC79F987YV6FKV0XWS3WEP6M,2025-12-11T18:09:56.665793859Z
01KC79N3BTGXA2PWED66JGHFET,01KC792NT3GNWPDN4K2DAPSNHC,2025-12-11T18:09:28.442786458Z,01KC792NTEQ8JKXK344BFAF58E,2025-12-11T18:09:28.442786458Z,01KC79FFZCYEFXMZGEYF857PHT,2025-12-11T18:09:28.442786458Z
