id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01KC79GJX1KMBGBC4T3QKRADVB,01KC792RDGGK8CDH8Q95GZY5QB,2025-12-11T18:07:00.513349773Z,true,2025-12-11T18:08:53.292742002Z,01KC792RDTTPADJ08M6VFTYHNX,2025-12-11T18:07:00.513349773Z,9,2025-12-11T18:07:00.513349773Z,Round 9,2025-12-11T18:07:00.513349773Z,2,2025-12-11T18:07:00.7996312Z,true,2025-12-11T18:08:48.653150095Z
01KC79GJX7RYE2010N2NV38KG3,01KC792RDGGK8CDH8Q95GZY5QB,2025-12-11T18:07:00.519034437Z,true,2025-12-11T18:09:21.830075597Z,01KC792RDTTPADJ08M6VFTYHNX,2025-12-11T18:07:00.519034437Z,11,2025-12-11T18:07:00.519034437Z,Round 11,2025-12-11T18:07:00.519034437Z,2,2025-12-11T18:07:00.827822317Z,true,2025-12-11T18:09:01.416878117Z
01KC79HBEVZYZT0XGZ9MKEG4WB,01KC792RZXSW2VJJ9MYY3HWKT7,2025-12-11T18:07:25.660010446Z,true,2025-12-11T18:10:15.701075458Z,01KC792S06J6QXCJ8HVDY29CGM,2025-12-11T18:07:25.660010446Z,8,2025-12-11T18:07:25.660010446Z,Round 8,2025-12-11T18:07:25.660010446Z,2,2025-12-11T18:07:25.844167084Z,true,2025-12-11T18:10:00.29435224Z
01KC7AQ2GH7CN7GD7PWQJEP3AS,01KC79VK7TM02CNZ35QA1DJMGE,2025-12-11T18:28:01.681192298Z,false,2025-12-11T18:28:01.681192298Z,01KC79VKMCBGAZ7NXS8D0WYXB0,2025-12-11T18:28:01.681192298Z,12,2025-12-11T18:28:01.681192298Z,Round 12,2025-12-11T18:28:01.681192298Z,2,2025-12-11T18:28:03.602601372Z,false,2025-12-11T18:28:01.681192298Z
01KC79HBE83ZM97QK5CDSFGP67,01KC792RZXSW2VJJ9MYY3HWKT7,2025-12-11T18:07:25.640891437Z,true,2025-12-11T18:09:10.237879702Z,01KC792S06J6QXCJ8HVDY29CGM,2025-12-11T18:07:25.640891437Z,3,2025-12-11T18:07:25.640891437Z,Round 3,2025-12-11T18:07:25.640891437Z,2,2025-12-11T18:07:25.754728519Z,true,2025-12-11T18:08:50.895202325Z
01KC79JWRYYJ2F7RH7EXFF3W31,01KC792QXFDTTSEYSKJSE46MFT,2025-12-11T18:08:16.158230578Z,true,2025-12-11T18:10:38.901996376Z,01KC792QXT26YC6BEFZ6Z9RW21,2025-12-11T18:08:16.158230578Z,3,2025-12-11T18:08:16.158230578Z,Round 3,2025-12-11T18:08:16.158230578Z,2,2025-12-11T18:08:16.296030362Z,true,2025-12-11T18:09:20.110565255Z
01KC79RHE2000Y26TQECKPP6M5,01KC792QK3NQ9YQBMVC4J2ZJYJ,2025-12-11T18:11:21.155013089Z,true,2025-12-11T18:12:53.812660732Z,01KC792QKEWXFRRJ193215MS3Y,2025-12-11T18:11:21.155013089Z,2,2025-12-11T18:11:21.155013089Z,Round 2,2025-12-11T18:11:21.155013089Z,2,2025-12-11T18:11:21.498297562Z,true,2025-12-11T18:12:40.301607149Z
01KC79RQBNW229S7KG2FBP5QS8,01KC792QR6XXN61ZXWP8M9MPK8,2025-12-11T18:11:27.221188704Z,true,2025-12-11T18:15:17.052004894Z,01KC792QRJCW2RMKD50WKTBMJB,2025-12-11T18:11:27.221188704Z,8,2025-12-11T18:11:27.221188704Z,Round 8,2025-12-11T18:11:27.221188704Z,2,2025-12-11T18:11:27.871799303Z,true,2025-12-11T18:15:02.597472933Z
01KC7A7HD989KGBMNGG2N8AKJ4,01KC79VJ7VQR2HR116V55XY14K,2025-12-11T18:19:32.649873273Z,true,2025-12-11T18:22:58.600979568Z,01KC79VJDQXC2W66T6DBS0M1ZZ,2025-12-11T18:19:32.649873273Z,5,2025-12-11T18:19:32.649873273Z,Round 5,2025-12-11T18:19:32.649873273Z,2,2025-12-11T18:19:33.510565747Z,true,2025-12-11T18:22:34.832390796Z
01KC7AADZ3FDM6A11VBZBQSWG0,01KC79VJE7CNPF3WFGNWFS1AX9,2025-12-11T18:21:07.427975478Z,true,2025-12-11T18:35:57.43399891Z,01KC79VJRN83Z6TJ4WRC66DE0Y,2025-12-11T18:21:07.427975478Z,12,2025-12-11T18:21:07.427975478Z,Round 12,2025-12-11T18:21:07.427975478Z,2,2025-12-11T18:21:09.029534765Z,true,2025-12-11T18:35:20.239083492Z
01KC79X6PSMHNK1HPC77CA9WWP,01KC79Q50SQ8H9GXYFGG5PGKA0,2025-12-11T18:13:54.009573406Z,true,2025-12-11T18:15:34.09688438Z,01KC79Q51TSE0QP3RTFEE09C80,2025-12-11T18:13:54.009573406Z,2,2025-12-11T18:13:54.009573406Z,Round 2,2025-12-11T18:13:54.009573406Z,2,2025-12-11T18:13:54.536338879Z,true,2025-12-11T18:15:01.912787465Z
01KC7AQ2JQ2NVYQSCAFQ16TYH6,01KC79VK7TM02CNZ35QA1DJMGE,2025-12-11T18:28:01.751152112Z,false,2025-12-11T18:28:01.751152112Z,01KC79VKMCBGAZ7NXS8D0WYXB0,2025-12-11T18:28:01.751152112Z,10,2025-12-11T18:28:01.751152112Z,Round 10,2025-12-11T18:28:01.751152112Z,2,2025-12-11T18:28:03.352268514Z,false,2025-12-11T18:28:01.751152112Z
